epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8853,3.3148,8.4261,2.70069,0.00083,0.11111,0.00261,0.00121,3.3174,8.63698,2.92763,5e-05,5e-05,5e-05
2,19.7409,3.23008,8.24179,2.74785,0.00197,0.16667,0.00594,0.00142,2.81772,5.22252,2.45512,0.000110644,0.000110644,0.000110644
3,25.3422,2.30713,4.80772,1.87478,0.18273,0.30556,0.19486,0.06773,2.18018,4.6885,1.88278,0.000169225,0.000169225,0.000169225
4,28.5684,1.82729,2.88365,1.43865,0.5164,0.32639,0.31025,0.17484,2.05435,4.0366,1.81713,0.000225744,0.000225744,0.000225744
5,32.9199,1.74772,2.37209,1.38804,0.53531,0.59541,0.56579,0.26154,2.09662,3.39087,1.83968,0.0002802,0.0002802,0.0002802
6,37.4823,1.69924,2.09887,1.41258,0.60863,0.65972,0.60137,0.29681,2.04045,2.46083,1.78294,0.000332594,0.000332594,0.000332594
7,40.401,1.60559,1.54364,1.27083,0.32394,0.70139,0.46854,0.19153,2.17276,2.49646,1.90134,0.000382925,0.000382925,0.000382925
8,43.154,1.68201,1.49186,1.38952,0.71778,0.60727,0.54835,0.26872,1.82912,1.97748,1.69939,0.000431194,0.000431194,0.000431194
9,45.945,1.58538,1.43451,1.3014,0.55498,0.62824,0.63316,0.30577,1.82216,2.31751,1.78831,0.0004774,0.0004774,0.0004774
10,50.1248,1.63426,1.23892,1.35639,0.58478,0.51988,0.4701,0.18245,2.17166,2.58309,2.01679,0.000521544,0.000521544,0.000521544
11,54.7388,1.56218,1.15584,1.30706,0.71058,0.60262,0.62018,0.29952,1.99984,2.00358,1.87892,0.000563625,0.000563625,0.000563625
12,57.6642,1.57263,1.12116,1.3612,0.48644,0.56212,0.53006,0.22999,2.08389,2.03685,1.88681,0.000603644,0.000603644,0.000603644
13,60.4891,1.50144,1.09692,1.24269,0.51424,0.44444,0.45673,0.1933,2.22418,2.37086,1.99833,0.0006416,0.0006416,0.0006416
